Nom,Présentation,Statut juridique,Domaine(s),Région(s),Numéro SIREN,Fiche URSCOP,Adresse,Adhérent CoopTech,Notes,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
24Ème,Conception et développement de logiciels libres pour des communautés de métiers,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/24eme?field_code_naf=&page=27,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Access 42,"Accessibilité numérique : expertise, conseil et formation.",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/access-42,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Afe56.Com,Réparation de matériel informatique,SCOP,,Bretagne (FR),,https://www.les-scop.coop/afe56com?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,47.678914,-2.759753,Place Fred Regnier,Place Fred Regnier 56000 Vannes,Vannes,
Agilium ( Société Du Groupe Alma),édition et prestations de services informatiques,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/agilium-societe-du-groupe-alma?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Alma,"Edition de logiciels métier (industrie, santé) et services numériques (solutions collaboratives, systèmes et réseaux).",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/alma?federation=federations/3/&field_code_naf=&page=4,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Alter Si,"Intégration et la commercialisation de solutions informatiques pour les entreprises, programmation et développement, conseil en système d'information...",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/alter-si?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Amerema,La réalisation de prestations de services à caractère informatique graphique ou Illustratif. L'achat la vente de produits ou logiciels informatique,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/amerema?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Amr Informatique,"Conseil en informatique, maintenance, formation. Vente de matériel et de périphérique.",SCOP,,Grand Est (FR),,https://www.les-scop.coop/amr-informatique?page=6,,,,48.576464,7.751723,Rue Fred Vlès,Rue Fred Vlès 67000 Strasbourg,Strasbourg,
Arcads,Ingénierie informatique JAVA.,SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/arcads?federation=federations/3/&field_code_naf=&page=7,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Arete,"Missions d'expertise Santé, Sécurité et Conditions de Travail pour les CSE. Formations pour les CSE : ""Santé, Sécurité et Conditions de Travail""...",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/arete?federation=federations/3/&field_code_naf=&page=7,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Artim,"Tous travaux création, assistance informatique, audio-visuel et multimédia, vente et location.",SCOP,,Pays de la Loire (FR),,https://www.les-scop.coop/artim?field_code_naf=&page=27,,,,47.276991,-2.213173,Rue de la Paix et des Arts,Rue de la Paix et des Arts 44600 Saint-Nazaire,Saint-Nazaire,
Artishoc,"La réalisation de prestation de conseil, de conception et de formation de produits numériques à destination des produits culturels.",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/artishoc?field_code_naf_target_id=&page=4,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Aspodelk,"Multimédia - Création, développement et gestion de réseaux informatiques, base de données en ligne.",SCOP,,Occitanie (FR),,https://www.les-scop.coop/aspodelk?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Assistance Logiciels Formation Informatique,"Vente et maintenance de matériels et logiciels, formation et assistance. Spécialiste en gestion commerciale, comptabilité, paie et point de vente...",SCOP,,Hauts-de-France (FR),,https://www.les-scop.coop/assistance-logiciels-formation-informatique,,,,49.595095,3.374697,Rue de la 1ere Div Fr Libre,Rue de la 1ere Div Fr Libre 02410 Saint-Gobain,Saint-Gobain,
Astrolabe Cae,CAE informatique,CAE,,Bretagne (FR),,https://www.les-scop.coop/astrolabe-cae?field_code_naf_target_id=&page=4,,,,47.678914,-2.759753,Place Fred Regnier,Place Fred Regnier 56000 Vannes,Vannes,
Avalon Lab,Conseil en systèmes et logiciels informatiques.,SCOP,,Bretagne (FR),,https://www.les-scop.coop/avalon-lab?field_code_naf=&page=12,,,,47.678914,-2.759753,Place Fred Regnier,Place Fred Regnier 56000 Vannes,Vannes,
Avizzeo,Prestation de services informatiques.,SCOP,,Occitanie (FR),,https://www.les-scop.coop/avizzeo?field_code_naf=&page=12,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Be My Media,"édition de logiciel ,prestation d'accompagnement, éducation aux médias",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/be-my-media?field_code_naf_target_id=&page=4,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Bearstech,"Hébergement administration système, infogérance, développement d'applications web ou mobile, conseil, information R&D.",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/bearstech,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
C2Rt Entreprise,"Maintenance, vente, réparation de matériels et logiciel informatiques. Formation",SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/c2rt-entreprise?page=14,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
Cadoles,Conseil en systemes et logiciels,SCOP,,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/cadoles?field_code_naf=&page=11,,,,47.354623,4.213673,Rue des Creux de la Terre - Fr,Rue des Creux de la Terre - Fr 21210 Lacour-d'Arcenay,Lacour-d'Arcenay,
Caleido Scop,"Développement de logiciel, informatique graphique.",SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/caleido-scop?federation=federations/3/&field_code_naf=&page=4,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Card,Conception et commercialisation de produits informatiques,SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/card?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Cbao,Réalisation de logiciels.,SCOP,,Occitanie (FR),,https://www.les-scop.coop/cbao?field_code_naf=&field_secteur_activite_structure=1866&page=2,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Ceicom Solutions,"Société de services informatiques. Éditeur de logiciels, hébergement, internet.",SCOP,,Occitanie (FR),,https://www.les-scop.coop/ceicom-solutions?field_code_naf=&field_depart=1424&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Cely Informatique,"Prestation de service informatique, vente de matériels et de logiciels.",SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/cely-informatique?field_code_naf=&page=27,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Cevennes Libres,"La promotion de l’informatique libre, la collecte, le reconditionnement, le don, l'initiation, la formation, l'installation, la maintenance de...",SCOP,,Occitanie (FR),,https://www.les-scop.coop/cevennes-libres?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Cifea-Mkg,"Informatique, traitement de données, gestion de fichiers, publipostage, activité de routage, d'affranchissement et de colisage, opérations...",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/cifea-mkg?field_code_naf=&page=27,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Confluence Conseil,Conseil et assistance dans le domaine des systèmes et logiciels informatiques.,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/confluence-conseil?field_code_naf=&field_depart=1384&field_secteur_activite_structure=1875&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Coopgo,la société coopérative poursuite comme objectif principal la recherche d'une utilité sociale. cet objectif se réalise notamment à travers les...,SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/coopgo,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Dalibo,Prestations de services informatiques.,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/dalibo?page=8,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Datakit,"Programmation, informatique, fabrication et vente de logiciels d'échange de données.",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/datakit,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Deltacad,"Réalisation et commercialisation de produits informatiques techniques.Développement de logiciel spécifique en CAO, calcul, gestion de données...",SCOP,,Hauts-de-France (FR),,https://www.les-scop.coop/deltacad?federation=federations/3/&field_code_naf=&page=7,,,,49.595095,3.374697,Rue de la 1ere Div Fr Libre,Rue de la 1ere Div Fr Libre 02410 Saint-Gobain,Saint-Gobain,
Devcoop,Prestation de sercices en ingénierie informatique.,SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/devcoop?field_code_naf_target_id=&page=4,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
Diademe Ingénierie,Programmation informatique (6201Z),SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/diademe-ingenierie?federation=federations/3/&field_code_naf=&page=7,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Digicoop,"Conception, réalisation et commercialisation de produits et services numériques innovants.",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/digicoop?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Digitanie,"Réalisation de logiciels, communication numérique, site internet, conseil en génie logiciel. Design et P.A.O",SCOP,,Occitanie (FR),,https://www.les-scop.coop/digitanie?field_code_naf_target_id=&page=4,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Dixquinze,"Impression images, photos, supports",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/dixquinze?page=7,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Débutant-E Accepté-E,Développement informatique,SCOP,,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/debutant-e-accepte-e?page=13,,,,47.354623,4.213673,Rue des Creux de la Terre - Fr,Rue des Creux de la Terre - Fr 21210 Lacour-d'Arcenay,Lacour-d'Arcenay,
